frame_index,timestamp_ms,detected,nose_x,nose_y,nose_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z
0,0.0,True,-0.037489,-0.574751,-0.360857,0.052215,-0.589389,-0.230644,-0.105195,-0.547248,-0.232506,0.15369,-0.42576,-0.104397,-0.177879,-0.47042,-0.057446,0.23374,-0.228426,-0.142481,-0.242277,-0.193735,-0.079119,0.187572,-0.064929,-0.149839,-0.216541,-0.029897,-0.145796,0.101732,-0.003765,0.03505,-0.09774,-0.002859,-0.036392
1,41.667,True,-0.038287,-0.575804,-0.3427,0.054607,-0.592309,-0.219396,-0.100007,-0.553378,-0.21309,0.155061,-0.429772,-0.086636,-0.17038,-0.479813,-0.046167,0.233591,-0.234444,-0.132623,-0.239425,-0.201042,-0.079138,0.187329,-0.075561,-0.141407,-0.21589,-0.029976,-0.150596,0.1014,-0.003585,0.036395,-0.097391,-0.003097,-0.03759
2,83.333,True,-0.038474,-0.575794,-0.342112,0.055066,-0.592028,-0.220066,-0.09782,-0.553394,-0.213989,0.155242,-0.428951,-0.088083,-0.164147,-0.480713,-0.045891,0.227752,-0.234793,-0.134723,-0.22758,-0.200876,-0.078599,0.179295,-0.07375,-0.142916,-0.216336,-0.013184,-0.146246,0.100745,-0.002355,0.036541,-0.096779,-0.004464,-0.037719
3,125.0,True,-0.039313,-0.57578,-0.336202,0.053974,-0.592463,-0.21423,-0.098379,-0.55365,-0.208563,0.152515,-0.429115,-0.081521,-0.162205,-0.48384,-0.04209,0.212972,-0.234693,-0.128509,-0.227052,-0.204104,-0.079763,0.173555,-0.063217,-0.137668,-0.216459,-0.014261,-0.151627,0.099909,-0.001926,0.037019,-0.095866,-0.004983,-0.038073
4,166.667,True,-0.040106,-0.576054,-0.331094,0.053737,-0.592862,-0.211926,-0.098355,-0.554412,-0.204734,0.151953,-0.429145,-0.078708,-0.159867,-0.484526,-0.041133,0.206802,-0.234591,-0.129205,-0.226071,-0.204061,-0.082143,0.166795,-0.05674,-0.139624,-0.2191,-0.009967,-0.154622,0.099296,-0.001519,0.037601,-0.095249,-0.005509,-0.038576
5,208.333,True,-0.040593,-0.576142,-0.332512,0.053575,-0.593018,-0.212512,-0.098449,-0.554674,-0.205437,0.150751,-0.429406,-0.079623,-0.157986,-0.486616,-0.040819,0.201768,-0.234501,-0.128727,-0.225881,-0.207214,-0.082129,0.163689,-0.053787,-0.138101,-0.220195,-0.012019,-0.154431,0.098812,-0.001032,0.037579,-0.09467,-0.006024,-0.038531
6,250.0,True,-0.04083,-0.576256,-0.333234,0.053439,-0.592973,-0.212783,-0.098588,-0.554676,-0.205568,0.15008,-0.429382,-0.080285,-0.157333,-0.486332,-0.040592,0.199172,-0.234422,-0.129004,-0.222549,-0.206491,-0.082136,0.162412,-0.049929,-0.138301,-0.223068,-0.009009,-0.153094,0.098493,-0.000513,0.037421,-0.094372,-0.006543,-0.038318
7,291.667,True,-0.043329,-0.580017,-0.330952,0.053873,-0.592965,-0.211593,-0.098271,-0.555399,-0.194262,0.150093,-0.428917,-0.080316,-0.15068,-0.491757,-0.018291,0.200698,-0.234356,-0.116829,-0.216827,-0.228771,-0.039525,0.156287,-0.069058,-0.104043,-0.172895,-0.113311,-0.116764,0.097796,0.001062,0.02946,-0.093754,-0.008065,-0.030094
8,333.333,True,-0.042266,-0.587715,-0.301833,0.054051,-0.596536,-0.192537,-0.096633,-0.558064,-0.177303,0.151773,-0.430132,-0.062372,-0.145545,-0.493945,-0.006571,0.209607,-0.241222,-0.100869,-0.213722,-0.228802,-0.046834,0.132304,-0.159965,-0.109225,-0.129039,-0.175235,-0.197323,0.09784,0.001614,0.029671,-0.09393,-0.009056,-0.030399
9,375.0,True,-0.041917,-0.587993,-0.30737,0.052882,-0.596468,-0.194904,-0.096611,-0.558015,-0.179634,0.151715,-0.430206,-0.063229,-0.146326,-0.493523,-0.010904,0.220677,-0.24082,-0.103708,-0.214375,-0.225011,-0.066756,0.137524,-0.19128,-0.150949,-0.149326,-0.187582,-0.255904,0.097689,0.001706,0.02971,-0.093888,-0.009221,-0.030173
10,416.667,True,-0.040603,-0.592327,-0.287411,0.054577,-0.599263,-0.17398,-0.095684,-0.560581,-0.165137,0.155783,-0.429805,-0.036387,-0.146691,-0.494037,-0.000843,0.221995,-0.225292,-0.10156,-0.22323,-0.223607,-0.068613,0.163501,-0.200859,-0.187281,-0.203236,-0.189945,-0.282965,0.098831,0.001715,0.032978,-0.095224,-0.00925,-0.032723
11,458.333,True,-0.030272,-0.594397,-0.300399,0.0612,-0.600961,-0.186927,-0.089994,-0.561572,-0.186286,0.162715,-0.429849,-0.039259,-0.146276,-0.493949,-0.021366,0.234823,-0.223317,-0.116185,-0.22379,-0.211804,-0.110318,0.204232,-0.206134,-0.233948,-0.221971,-0.19091,-0.343371,0.100005,0.001583,0.036212,-0.096596,-0.009188,-0.035352
12,500.0,True,-0.024023,-0.594142,-0.295399,0.065537,-0.601011,-0.180116,-0.087052,-0.562237,-0.181234,0.16656,-0.429304,-0.033695,-0.145327,-0.492925,-0.018366,0.240408,-0.219345,-0.108391,-0.211472,-0.19881,-0.104421,0.231679,-0.208998,-0.217967,-0.23063,-0.205138,-0.315803,0.100876,0.001887,0.037637,-0.097339,-0.009499,-0.036843
13,541.667,True,-0.023673,-0.593874,-0.252756,0.067928,-0.600939,-0.140019,-0.08466,-0.56292,-0.136962,0.170279,-0.428831,-0.001575,-0.14375,-0.490283,0.020283,0.256201,-0.21913,-0.090354,-0.207674,-0.188384,-0.061747,0.258546,-0.207641,-0.208806,-0.239506,-0.206129,-0.298187,0.101538,0.00267,0.038453,-0.097725,-0.010235,-0.037829
14,583.333,True,-0.024238,-0.594755,-0.253941,0.068037,-0.601986,-0.144872,-0.083718,-0.566488,-0.141106,0.170094,-0.429381,-0.007193,-0.140883,-0.490223,0.02002,0.267432,-0.220494,-0.093619,-0.207301,-0.187224,-0.05462,0.26249,-0.215947,-0.218781,-0.253197,-0.20746,-0.290373,0.101437,0.00282,0.038814,-0.097531,-0.010575,-0.038254
15,625.0,True,-0.024055,-0.594886,-0.253951,0.069498,-0.602192,-0.144707,-0.082626,-0.567655,-0.140259,0.171102,-0.429753,-0.006072,-0.138371,-0.490093,0.021456,0.272157,-0.221938,-0.091965,-0.205869,-0.185805,-0.051781,0.266282,-0.218856,-0.214909,-0.254806,-0.207524,-0.281185,0.10155,0.003066,0.039502,-0.097577,-0.010969,-0.038974
16,666.667,True,-0.020974,-0.596356,-0.259251,0.072894,-0.603101,-0.145635,-0.07906,-0.5691,-0.142894,0.173686,-0.43026,-0.008873,-0.134742,-0.489827,0.01886,0.279782,-0.223052,-0.09272,-0.203601,-0.186001,-0.053956,0.26955,-0.220269,-0.224371,-0.25081,-0.213852,-0.275605,0.102057,0.003153,0.039856,-0.097963,-0.011198,-0.039292
17,708.333,True,-0.020983,-0.599703,-0.256878,0.072374,-0.606068,-0.144883,-0.079598,-0.570726,-0.144452,0.172834,-0.432678,-0.009002,-0.135023,-0.4894,0.016965,0.275264,-0.229591,-0.086185,-0.204075,-0.18566,-0.054317,0.264066,-0.223603,-0.218241,-0.24938,-0.216412,-0.272879,0.102523,0.003158,0.040268,-0.098322,-0.011216,-0.03965
18,750.0,True,-0.021213,-0.599165,-0.259696,0.072505,-0.605045,-0.148227,-0.07929,-0.570786,-0.146976,0.172655,-0.432014,-0.011964,-0.135277,-0.488451,0.015803,0.276315,-0.228902,-0.099856,-0.20429,-0.183102,-0.062525,0.267437,-0.220759,-0.240375,-0.248139,-0.212269,-0.286369,0.102555,0.003119,0.041025,-0.098338,-0.011229,-0.040447
19,791.667,True,-0.023081,-0.5983,-0.25813,0.071319,-0.604492,-0.146549,-0.081761,-0.570375,-0.144875,0.171864,-0.431508,-0.009517,-0.136949,-0.486706,0.018478,0.27436,-0.227723,-0.094817,-0.206978,-0.180239,-0.0601,0.264851,-0.218767,-0.233353,-0.250955,-0.210303,-0.282231,0.102793,0.003125,0.041367,-0.098546,-0.011258,-0.040779
20,833.333,True,-0.023611,-0.597288,-0.259237,0.071325,-0.604051,-0.148144,-0.08187,-0.569935,-0.145213,0.172427,-0.430874,-0.011044,-0.13759,-0.485164,0.014879,0.273241,-0.226691,-0.098523,-0.212606,-0.176999,-0.068436,0.265215,-0.218757,-0.233008,-0.250599,-0.208609,-0.294126,0.102874,0.0031,0.04205,-0.098627,-0.011272,-0.041559
21,875.0,True,-0.023093,-0.597701,-0.279536,0.071293,-0.604128,-0.169499,-0.081843,-0.570002,-0.169466,0.172339,-0.431034,-0.029113,-0.137528,-0.48461,-0.002392,0.273265,-0.229448,-0.104506,-0.209299,-0.177232,-0.082749,0.26588,-0.222308,-0.236034,-0.242125,-0.209671,-0.303338,0.103018,0.00305,0.042067,-0.098776,-0.011284,-0.041573
22,916.667,True,-0.023228,-0.596643,-0.276546,0.070784,-0.603356,-0.166458,-0.082118,-0.569169,-0.166733,0.172148,-0.430249,-0.025999,-0.139637,-0.483555,-0.000487,0.272781,-0.226544,-0.104763,-0.213495,-0.175449,-0.080428,0.264974,-0.22168,-0.235421,-0.244516,-0.209303,-0.301273,0.103047,0.003001,0.042111,-0.098814,-0.011257,-0.041626
23,958.333,True,-0.025085,-0.594072,-0.275636,0.070146,-0.601846,-0.165313,-0.083294,-0.567171,-0.164001,0.172034,-0.428215,-0.02278,-0.142155,-0.482298,0.000277,0.272342,-0.221215,-0.104285,-0.222448,-0.172891,-0.079714,0.264236,-0.221252,-0.234217,-0.247303,-0.207373,-0.300402,0.103159,0.002988,0.042379,-0.098956,-0.011261,-0.041914
24,1000.0,True,-0.025774,-0.592569,-0.287253,0.069812,-0.601203,-0.176526,-0.08396,-0.566413,-0.173903,0.171963,-0.427593,-0.031168,-0.142522,-0.482101,-0.010193,0.2717,-0.220972,-0.119408,-0.222029,-0.1728,-0.092397,0.263651,-0.222283,-0.250171,-0.247202,-0.206987,-0.313228,0.10308,0.002987,0.042371,-0.098899,-0.011277,-0.041922
25,1041.667,True,-0.027102,-0.591491,-0.286461,0.068905,-0.601156,-0.175573,-0.085983,-0.566182,-0.172884,0.171719,-0.427679,-0.030906,-0.144224,-0.482119,-0.009249,0.267935,-0.220895,-0.118643,-0.226473,-0.172934,-0.09085,0.263241,-0.221877,-0.247089,-0.250584,-0.20681,-0.309926,0.10319,0.002982,0.04224,-0.099021,-0.011288,-0.041807
